,names,scores,logfoldchanges,pvals,pvals_adj,effect_size,significance
9212,ITSN1,-0.039074924,1.5137514,0.9688306527363374,0.9996419556685904,,Not Significant
9213,MED20,-0.039616503,1.53898,0.9683988695665785,0.9996419556685904,,Not Significant
9214,GPR55,-0.040076844,0.34861994,0.9680318611511403,0.9996419556685904,,Not Significant
9215,ZNF69,-0.04016711,0.38400695,0.9679598995082738,0.9996419556685904,,Not Significant
9216,ARPIN,-0.040176135,,0.9679527033583272,0.9996419556685904,,Not Significant
9217,EFCAB10,-0.040275425,0.3598318,0.9678735458812792,0.9996419556685904,,Not Significant
9218,VAV3-AS1,-0.04031153,0.40109652,0.9678447614226119,0.9996419556685904,,Not Significant
9219,TRAV4,-0.040347636,0.3820417,0.9678159770058392,0.9996419556685904,,Not Significant
9220,OAZ3,-0.0404379,0.45876303,0.967744016147442,0.9996419556685904,,Not Significant
9221,POLN,-0.040573295,0.48729134,0.9676360753525173,0.9996419556685904,,Not Significant
9222,HDAC11,-0.04060037,,0.9676144872646245,0.9996419556685904,,Not Significant
9223,AC016876.1,-0.040618423,,0.9676000952192141,0.9996419556685904,,Not Significant
9224,GNB5,-0.04067258,,0.9675569191463209,0.9996419556685904,,Not Significant
9225,ALKBH3,-0.04067258,,0.9675569191463209,0.9996419556685904,,Not Significant
9226,CLNK,-0.040708687,0.55714947,0.9675281351505542,0.9996419556685904,,Not Significant
9227,UBA1,-0.04082603,,0.9674345874566864,0.9996419556685904,,Not Significant
9228,NMB,-0.040961426,,0.9673266483668702,0.9996419556685904,,Not Significant
9229,CEBPB-AS1,-0.041087795,1.2827324,0.9672259057564278,0.9996419556685904,,Not Significant
9230,CEP57L1,-0.04126832,,0.967081988649282,0.9996419556685904,,Not Significant
9231,ABAT,-0.04156619,,0.9668445277687652,0.9996419556685904,,Not Significant
9232,ENDOV,-0.041710608,,0.9667293962776443,0.9996419556685904,,Not Significant
9233,KDM4A,-0.04188211,-0.20548232,0.9665926785329189,0.9996419556685904,,Not Significant
9234,NADK2,-0.042017505,,0.9664847441647582,0.9996419556685904,,Not Significant
9235,Z95114.4,-0.042044584,0.47270966,0.9664631573647466,0.9996419556685904,,Not Significant
9236,TNIP3,-0.042279266,6.0981183,0.9662760727958436,0.9996419556685904,,Not Significant
9237,AL691447.2,-0.042586163,0.76692146,0.9660314265467126,0.9996419556685904,,Not Significant
9238,ZNF25,-0.04295624,,0.9657364162068368,0.9996419556685904,,Not Significant
9239,FUT8,-0.0430104,,0.9656932443543886,0.9996419556685904,,Not Significant
9240,AC073111.5,-0.043073583,,0.9656428773203075,0.9996419556685904,,Not Significant
9241,CHTOP,-0.04315482,,0.9655781199065081,0.9996419556685904,,Not Significant
9242,RIMS2,-0.04332632,0.43193832,0.9654414105567628,0.9996419556685904,,Not Significant
9243,AL355312.4,-0.04332632,0.40945405,0.9654414105567628,0.9996419556685904,,Not Significant
9244,AC093110.1,-0.04332632,0.44702488,0.9654414105567628,0.9996419556685904,,Not Significant
9245,AC092338.1,-0.04332632,0.44191113,0.9654414105567628,0.9996419556685904,,Not Significant
9246,AL139011.2,-0.04332632,0.42146674,0.9654414105567628,0.9996419556685904,,Not Significant
9247,AL139317.3,-0.04332632,0.44620195,0.9654414105567628,0.9996419556685904,,Not Significant
9248,C11orf72,-0.04332632,0.42175934,0.9654414105567628,0.9996419556685904,,Not Significant
9249,WDR78,-0.04332632,0.4488934,0.9654414105567628,0.9996419556685904,,Not Significant
9250,PCA3,-0.04332632,0.43286967,0.9654414105567628,0.9996419556685904,,Not Significant
9251,NGFR,-0.04332632,0.43273848,0.9654414105567628,0.9996419556685904,,Not Significant
9252,AC104806.2,-0.04332632,0.40560043,0.9654414105567628,0.9996419556685904,,Not Significant
9253,AL671710.1,-0.04332632,0.43157342,0.9654414105567628,0.9996419556685904,,Not Significant
9254,AC069287.2,-0.04332632,0.4205322,0.9654414105567628,0.9996419556685904,,Not Significant
9255,CEP170B,-0.04332632,0.41588244,0.9654414105567628,0.9996419556685904,,Not Significant
9256,SEMA3E,-0.04332632,0.4272445,0.9654414105567628,0.9996419556685904,,Not Significant
9257,AL031709.1,-0.04332632,0.42435738,0.9654414105567628,0.9996419556685904,,Not Significant
9258,AL731566.1,-0.04332632,0.40809,0.9654414105567628,0.9996419556685904,,Not Significant
9259,AC007566.1,-0.04332632,0.43675312,0.9654414105567628,0.9996419556685904,,Not Significant
9260,LINC00384,-0.04332632,0.44388285,0.9654414105567628,0.9996419556685904,,Not Significant
9261,AC104695.2,-0.04332632,0.4452831,0.9654414105567628,0.9996419556685904,,Not Significant
9262,AC002310.2,-0.04332632,0.43010208,0.9654414105567628,0.9996419556685904,,Not Significant
9263,UBQLNL,-0.04332632,0.44173864,0.9654414105567628,0.9996419556685904,,Not Significant
9264,LINC02078,-0.04332632,0.44728032,0.9654414105567628,0.9996419556685904,,Not Significant
9265,CARD14,-0.04332632,0.47750553,0.9654414105567628,0.9996419556685904,,Not Significant
9266,AL136962.1,-0.04332632,0.41107523,0.9654414105567628,0.9996419556685904,,Not Significant
9267,AL022326.1,-0.04332632,0.4265245,0.9654414105567628,0.9996419556685904,,Not Significant
9268,AL161772.1,-0.04332632,0.42282557,0.9654414105567628,0.9996419556685904,,Not Significant
9269,SLC27A2,-0.04332632,0.4210259,0.9654414105567628,0.9996419556685904,,Not Significant
9270,PRR36,-0.04332632,0.42353582,0.9654414105567628,0.9996419556685904,,Not Significant
9271,AANAT,-0.04332632,0.43017912,0.9654414105567628,0.9996419556685904,,Not Significant
9272,AC010761.3,-0.04332632,0.446482,0.9654414105567628,0.9996419556685904,,Not Significant
9273,AL449106.1,-0.04332632,0.41528726,0.9654414105567628,0.9996419556685904,,Not Significant
9274,SMPDL3B,-0.04332632,0.4496969,0.9654414105567628,0.9996419556685904,,Not Significant
9275,BAIAP2L2,-0.04332632,0.44646713,0.9654414105567628,0.9996419556685904,,Not Significant
9276,GPNMB,-0.04332632,0.4455718,0.9654414105567628,0.9996419556685904,,Not Significant
9277,FAM57A,-0.04332632,0.45663366,0.9654414105567628,0.9996419556685904,,Not Significant
9278,GLIPR1L2,-0.04332632,0.4427346,0.9654414105567628,0.9996419556685904,,Not Significant
9279,TMEM269,-0.04332632,0.44115293,0.9654414105567628,0.9996419556685904,,Not Significant
9280,AL603839.3,-0.04332632,0.41598186,0.9654414105567628,0.9996419556685904,,Not Significant
9281,SCN2A,-0.04332632,0.4080848,0.9654414105567628,0.9996419556685904,,Not Significant
9282,AC026904.2,-0.04332632,0.44460613,0.9654414105567628,0.9996419556685904,,Not Significant
9283,OR2B11,-0.04332632,0.43654552,0.9654414105567628,0.9996419556685904,,Not Significant
9284,LINC02257,-0.04332632,0.44263262,0.9654414105567628,0.9996419556685904,,Not Significant
9285,AC009974.1,-0.04332632,0.43897027,0.9654414105567628,0.9996419556685904,,Not Significant
9286,AC092620.3,-0.04332632,0.42687055,0.9654414105567628,0.9996419556685904,,Not Significant
9287,AL158151.1,-0.04332632,0.42255932,0.9654414105567628,0.9996419556685904,,Not Significant
9288,P3H3,-0.04332632,0.4506602,0.9654414105567628,0.9996419556685904,,Not Significant
9289,AL034417.4,-0.04332632,0.4265461,0.9654414105567628,0.9996419556685904,,Not Significant
9290,AL136531.1,-0.04332632,0.44929057,0.9654414105567628,0.9996419556685904,,Not Significant
9291,THBS4,-0.04332632,0.42718112,0.9654414105567628,0.9996419556685904,,Not Significant
9292,AC093752.2,-0.04332632,0.4788303,0.9654414105567628,0.9996419556685904,,Not Significant
9293,AC010998.2,-0.04332632,0.41307682,0.9654414105567628,0.9996419556685904,,Not Significant
9294,RAD9B,-0.04332632,0.46410677,0.9654414105567628,0.9996419556685904,,Not Significant
9295,LCNL1,-0.04394011,0.6056561,0.9649521433409753,0.9996419556685904,,Not Significant
9296,C1orf220,-0.043949135,0.49917057,0.9649449483328614,0.9996419556685904,,Not Significant
9297,WDR4,-0.044192847,,0.9647506841946104,0.9996419556685904,,Not Significant
9298,WDR46,-0.044391427,,0.9645923964432062,0.9996419556685904,,Not Significant
9299,CFDP1,-0.044517793,,0.964491668600233,0.9996419556685904,,Not Significant
9300,PML,-0.044951055,,0.9641463203075901,0.9996419556685904,,Not Significant
